Title,Field ID,Type,Date modified
Subject,1900000971393,Text,2021-08-05
Description,1900000971413,Multi-line,2021-08-05
Status,1900000971433,Drop-down,2021-08-05
Type,1900000971453,Drop-down,2021-08-05
Priority,1900000971473,Drop-down,2021-08-05
Group,1900000971493,Drop-down,2021-08-05
Assignee,1900000971513,Drop-down,2021-08-05
Language,4420184028817,Text,2022-02-08
IDFV,4420200369809,Text,2022-02-08
Region,4420200383121,Text,2022-02-08
Device,4420200402449,Text,2022-02-08
OS,4420200421137,Text,2022-02-08
Screen,4420200425617,Text,2022-02-08
IDFA,4420205399697,Text,2022-02-08
User,4420205421457,Text,2022-02-08
TimeZone,4420205438481,Text,2022-02-08
Category,4420243456017,Drop-down,2022-02-08
Version,4420243596049,Text,2022-02-08
